case_id,eval_status,evidence_status,response_preview,required_evidence,expert_verdict,expert_notes
EC-079,pass,pass,"I've diagnosed the issue by reviewing your DLP rules and audit logs. **Diagnosis** The ""Block Phone Numbers"" rule is triggering because it lacks **URL exclusions**. Chrome scans all file transfers by default; without specific destination filters, it cannot distinguish between public sites and internal domains. **Evidence** * **DLP Rule:** The `dlp-phone-detector` rule is active for all uploads and",LLM judge: All evidence present,pass,
EC-080,pass,pass,"**Diagnosis**: Data is bypassing DLP via copy-paste (""bulk connector"") because your current rules only cover **Web Uploads** and **Downloads**. No rule exists for the **Bulk Text/Content Pasted** trigger. **Evidence**: * Checked your DLP rules in **`/Conflict-Test`**: Only `dlp-pii-block-web` (Web Upload) and `dlp-pii-block-download` (Download) are active. * Connector policy `chrome.users.BulkData",All required evidence found,pass,
EC-081,pass,pass,"Based on a review of your organizational units and connector configurations, here is the comparison: **Diagnosis**: Both **Engineering-Test** and **Sales-Test** test environments currently show **no explicitly configured connectors** at their respective levels, likely relying on inheritance. **Evidence**: * Checked **Engineering-Test-2a8efd6f** (`id:03ph8a2z221pcso`): The connector configuration `",All required evidence found,pass,
EC-082,pass,pass,"I’ve reviewed your configuration and audit logs for the **Engineering-Test** unit. The issue is that your connector policies, while active at the customer level, are not being correctly recognized for this specific organizational unit. Audit logs show a **CONNECTOR_SCOPE_CONFIRMED_CUSTOMER_LEVEL** event, indicating that these policies must be explicitly scoped to the **Engineering-Test** OU rather",All required evidence found,pass,
EC-083,pass,pass,"I've reviewed your organizational unit (OU) structure and recent security activity. **Diagnosis**: Your OU hierarchy is properly structured with functional divisions, and security monitoring is active. No structural errors were found, though audit logs show recurring sensitive data detections. **Evidence**: - **Structure**: The root contains **/Engineering**, **/Sales**, and **/Marketing**. Sub-un",All required evidence found,pass,
EC-084,pass,pass,"I've reviewed your current configuration and found that while **Cloud Reporting** is active for the root organization, no **DLP rules** are currently defined. To monitor sensitive data movement, I've drafted an **Audit Only** rule for the root OU. This rule will scan all file uploads, downloads, content pastes, and print actions for common sensitive identifiers like **SSNs** and **Credit Card numb",All required evidence found,pass,
EC-085,pass,pass,"I've reviewed your security configuration and prepared two policy changes to harden your fleet. **Diagnosis & Evidence** My check of your current configuration for the **/** (Root) OU shows that neither **Application Bound Encryption** nor **Incognito Mode** restrictions are currently defined. This means they are likely operating under default settings, allowing incognito windows and standard cook",All required evidence found,pass,
EC-086,pass,pass,"Based on my review of your fleet posture, here is the current state of your **Safe Browsing** configuration: **Diagnosis:** Safe Browsing is currently unmanaged or running on default settings without enterprise-grade overrides. **Evidence:** * **Connector Policies:** Found **0 active policies**. Real-time URL checks and threat reporting connectors are not configured. * **DLP Rules:** **0 rules** c",All required evidence found,pass,
EC-087,pass,pass,"I've analyzed your current Safe Browsing configuration and activity logs. **Diagnosis:** Safe Browsing is **not properly configured** for Chrome Enterprise Premium. While I see active content transfer detections in your logs (identifying sensitive data like phone numbers), the core threat protection policies are unset. **Evidence:** * **Connector Policies:** No policies are currently defined for `",All required evidence found,pass,
HERO-001,pass,pass,"I've drafted a baseline audit rule for all users at the root organizational unit. This rule will monitor and log file uploads, downloads, content pasting, and printing without interrupting your users' workflows, allowing you to gather insights into how sensitive data is being handled. Review the details in the confirmation card and say ""**Confirm**"" when you're ready to create it. --- The **Audit",LLM judge: All evidence present,pass,
HERO-002,pass,pass,"I've drafted two policy changes to secure your fleet at the root level. These updates will enable **Cookie Encryption** to protect session data and set **Incognito Mode** to **Disabled** to ensure all browsing activity is consistent with your organization's reporting policies. Please review the confirmation cards below and say **""Confirm""** to apply these changes. --- The policy changes have been",All required evidence found,pass,
